方言,日本語
ちゃっぽ,風呂
ちゃぶす,潰す//潰れる
ちゃぶれる,潰す//潰れる
ちゃらもっこ,いいかげん
チャリキ,ちゃりんこ//自転車
ちゃんや,子供//くそガキ
ちゅんちゅんめ,すずめ
調子こむ,調子に乗る
ちょっこむ,調子に乗る
調子くれる,調子に乗る
ちょうどっこ,ちょうどよく//ちゃんと//ちょうど同じ長さ
ちょうろぐ,満足//十分
ちょうろぐでねえ,満足にできない
ちょうろぐじゃねえ,満足にできない
ちょじら,嘘
ちょっとこい,こじゅけい//キジ目キジ科の鳥
ちょっぱ,便所
ちょっぱる,盗む
ちょろまかする,ピンハネする
ちょんま,蝶//蛾
ちょっぱ,蝶//蛾
ちょっぱめ,蝶//蛾
ちょっぱっこう,蝶//蛾
ちんこ,練習//ちんこ
ちんちろめ,すずめ
ちゅんちゅんめ,すずめ
ちんちんばらばら
ばらばらな状態
ちんにぐる,つねる
ちんぷりこく,すねてそっぽを向く
ちんぼ,乳房
おぢんぼ,乳
ちっこ,乳房
ちんぽくせえ,小さい
っちば,ってば
つーげづら,寒そうな顔//顔色が悪い様子
つーつー,さらさら
ついんぼ,杖
つうす,突き刺す
つっつす,突き刺す
つっとす,突き刺す
つっぷす,突き刺す
つっぽす,突き刺す
つかめる,つかまえる
つける,ご飯などをよそう
つげる,声をかけ
つこでる,落ちる//転がる//転ぶ
つこどす,ものを落とす//突き落とす
つっこどす,ものを落とす//突き落とす
つっけす,つき返す
つっこさる,突き刺さる
つっとさる,突き刺さる
つっぺる,突っ込んで入る
つっぱいる,突っ込んで入る
つっぺーる,突っ込んで入る
つと,納豆を巻いている藁
つとっこ,納豆を巻いている藁
つとめ,勤め人//サラリーマン
つばくらめ,つばめ
つばくろめ,つばめ
つまんにもんしっちゃもんだっぺ,きつい叱責の言葉
つらめる,つかまえる
つらめえる,つかまえる
つらまえる,つかまえる
吊る下がる,吊り下がる
つんだす,差し出す//突き出す
つんぬぐ,貫く
つん飲む,飲む
つんのめる,つまづく
つんもぐる,潜る
つんもす,燃やす
つんむす,燃やす
でご,太っている
でごじゃれる,形が崩れる
でごひご,不揃いな（迷っている）
ですっぱぎ,でしゃばり
でほーらぐ,でまかせ
なす,生む
なすける,責任をなすりつける
のさぐ,のどに食べ物がつかえる
はぎる,毛先を切る
ばーさらげる,みだれる
ぱすぱす,やっと
ひでーなし,くだらない
ひとまめ,人見知り
ふだに,たくさん
ふったげる,火を焚きつける
ぶっちめる,指を挟む
ふでねー,気の利かない
へずまんねー,本当につまらない
ほげほげ,腹いっぱい
ほーろぐ,払い落とす
ましょー,まともな
まで,仕事が丁寧な
まるぐ,束ねる
みぐせー,見苦しい
むそえ,持ちがよい
めめぐる,芽を出す
める,減る
よっこより,寄り道
