方言,日本語
うら,うしろ
うらっかえし,裏返し
うらっけえし,裏返し
うらっこ,裏返し
うらっぺ,先端
うる覚え,うろ覚え
うわっか,表面//上側
うわっぱり,上着
うんのまる,埋まる
ぶんのまる,埋まる
えがい,大きい
いがい,大きい
えぎっぽあがる,元気が出る
えっぺ,いっぱい
えし,おまえ
えしこえ,悪い
えじやげる,腹が立つ
えびがに,ザリガニ
いびがに,ザリガニ
えびまこ,えびの卵を天日干しにした食品
えろいんぴつ,色鉛筆
えんがみる,因果見る//ひどい目にあう
えんび,えんがちょ
えんぴ,えんがちょ
おーがん,道路
おいはん,夕飯//御夕飯
おいんと,お座り
おえんと,お座り
おうざに,おおげさに//大量に
おがすぎなんしょ,ご精が出ますね//儲かりまっか
おかせぎなんしょ,ご精が出ますね//儲かりまっか
おがんじん,乞食
おがんじんめ,乞食
おがんじめ,乞食
起きむくれ,起きたばかり
起きもくれ,起きたばかり
おぎむっくり,起きたばかり
おぎ,火だね//熾火（おきび）
おき,火だね//熾火（おきび）
おげはぐ,ご機嫌取り
おごさま,蚕
おごらいる,怒られる
おごりっぽ,怒りん坊
おごんなんしょ,しておくなさい
おさまえる,おさえる
おさめえる,おさえる
おさる,教わる
おさーる,教わる
おしなご,お手玉
おなんこ,お手玉
おすます,もめる//ごだごだする
おしゃらこ,おしゃれ
おしゃらぐ,おしゃれ
お汁ぐみ,おたま
おじくそ,怖がり//小心者
おじちゃん,おじいちゃん
おばちゃん,おばあちゃん
おじる,降りる
おだまこんぼじ,オタマジャクシ
おだまこんぼ,オタマジャクシ
おちる,降りる
降ちる,降りる
おっこちる,降りる
おっか,お母さん//お嫁さん
おっかかる,よりかかる
おっかく,折る//砕く
ぶっかく,折る//砕く
ぷっかく,折る//砕く
わっかく,折る//砕く
おっかながる,恐がる
おっかねえ,恐い//疲れた
おっきょる,折る
おっつ,億劫
おっくす,壊す
おっこわす,壊す
おっこす,壊す
うっくす,壊す
おっくりげしひっくりげし,繰り返し繰り返し
おっこぐる,追い出す//片づける
おっこどす,落とす
おっことす,落とす
おっこまる,まいってしまう
おったぎれる,切れる
おったまげる,驚く//びっくりする
おっちぬ,死ぬ
おっちめる,シメる//やっつける
しっちめる,シメる//やっつける
とっちめる,シメる//やっつける
ぶっちめる,シメる//やっつける
おっちゃす,押しつぶす
おっちゃぶす,押しつぶす
おっちゃる,捨てる//放る
おっちょ,雄蝶
めっちょ,雌蝶
おっちょる,折る
おっちらかす,ちらかす
おっつぁげる,裂ける//破れる
おっつく,追いつく
おっつくねる,重ねる
おっとばす,追い払う
おっとまり,集落のはずれ//突き当たり
おっぱじめる,始める
おっぱずかしい,とても恥ずかしい
おっぺしこむ,押し込む
おっぺしょる,へし折る
おっぺす,押し圧す（おしへす）//押し圧す（おしへす）
おっぺる,落ちる
おっぺーる,落っこちる
尾っぽ,尻尾
おつかる,くっつく//そばに寄る
おつけ,汁物
御付,汁物
おつよ,お汁
おづよ,お汁
おでしょ,小皿//手塩皿
てしょー,小皿//手塩皿
おどごっこ,男の子
おんなっこ,女の子
おどける,ふざける//冗談を言う
おどごだぢ,男性陣//男たち
おどっつぁま,父//夫//おじさん
おどで,おととい
おどめ,赤ちゃん
おなし,同じ
おにむし,クワガタ
鬼虫,クワガタ
おにんこ,おにぎり
お晩です,こんばんは（夜）
お晩方です,こんばんは（夕方）
おひゃらがす,からかう//ひやかす
おへらがす,からかう//ひやかす
おぴどき,七五三の儀式
おふかけ,雷
おべる,おぼえる
おぼだて,主産のお見舞い
おめ,おまえ//あなた//母屋
おめげ,あなたの家
おめのか,思いのほか
おもしくない,面白くない
おもしい,面白くない
おやす,終わらせる
おわす,終わらせる
おらち,私の家//私の家族
おらい,私の家//私の家族
おらげ,私の家//私の家族
うちんち,私の家//私の家族
うちげ,私の家//私の家族
おらえ,私の家//私の家族
おらほう,うちのほう
おろぬく,間引く//適度に手を抜く
おんこ,うんこ
おんこ蜂,便所蜂
おんじ,おじさん//おじいさん
おんじい,おじさん//おじいさん
おんじさま,おじさん//おじいさん
おんだす,外に出す//追い出す
おんちゃま,おっちゃん//おじさん
おんつぁま,おっちゃん//おじさん
おんつぁん,おっちゃん//おじさん
おんどまり,行き止まり
おんなだぢ,女性陣//女たち
おんなびる,擦りつける
おんのまる,埋まる
おんのめす,押しこむ//打ちのめす
おんば,おばさん//おばあさん
おんばあ,おばさん//おばあさん
おんばさま,おばさん//おばあさん
おんまわす,追いまわす
おんら,俺たち//私たち
がーだぐ,がらくた
かーぺ,皮
かーまし,水が溢れること
があら,つい//うっかり
がいがい,恐いもの
かいこ,貝
かいちゃ,逆さま//裏返し
かいちょ,逆さま//裏返し
けえちょ,逆さま//裏返し
かえってどうも,かえってすみません
かえってかえって,かえってすみません
かえるこんぼ,おたまじゃくし
かぎまし,食事の支度をする
かぎまわし,食事の支度をする
かぎ,炊ぎ（かしぎ）
がぎめ,ガキ//こども
学園,筑波研究学園都市
がくえん,筑波研究学園都市
かぐねる,隠れる
かけてあるく,走り回る
影ってくる,曇ってくる
かさぬき,旅行などの後一杯やること
やまいわい,旅行などの後一杯やること
がさばる,威張る
かさぴた,かさぶた
かさぷた,かさぶた
かさっぽ,かさぶた
かしき,食事の支度
舵回す,（車などの）方向転換をする
梶原,ゲジゲジ//嫌われ者//うそ//ハサミムシ
かせる,かぶれる
がだげ,食事一回分
かだっぽ,片一方
かだいっぽ,片一方
かちける,かじかむ
かっきる,掻き切る//切る
かっくす,掻きむしる
かっくらう,食う
かっくらす,げんこつをする//はっこぐる
かっちゃぐ,引っかく
かっころぶ,転ぶ
かったでる,縛る//かっちばる
かったぜる,縛る//しっちばる
かっちらかす,ちらかす
かっつぁく,かきむしる//ひっかく
かっちゃぐ,かきむしる//ひっかく
かっくす,かきむしる//ひっかく
かっぱく,掃く//掻き出す//寄せ集める//かきわける
かっぺずる,擦りむく//擦る
かっぺる,(田んぼや水溜りなどに)はまる//落ちる
かっぽる,捨てる//ほったらかしにする//掘る
カナカナ,ひぐらし
かね,食わない
かぴた,乾燥した田んぼ
カピてる,カビが生えている
かまごたねえ,構うことはない
かまごたあんめ,構うことはない
かまね,構わない
かまめ,構わない
かまんめ,構わない
がめる,盗む//盗み//万引き
かむ,（臭いを）嗅ぐ
かめ,蚊
かんめ,蚊
かあめ,蚊
からっきし,全然//まるっきり
っかわ,側（がわ）
かんか,いい子
かんそいも,干しいも
乾燥いも,干しいも
かんなぐる,げんこつをする//はっこぐる
かんぱ,火傷
かんぷら,じゃがいも
かんぽら,じゃがいも
かんまう,かまう//いじめる
かんます,かき回す
かんまーす,かき回す
かんまかす,かき回す
かんめの親父,蚊トンボ
がさっぱ,落ち葉//枯れ葉
がしゃっぱ,落ち葉//枯れ葉
がさばる,かさばる
がしたかる,がっつく
がしょうぎ,乱暴//強引//程度がはなはだしい
がじる,万引きする
ガスリン,ガソリン
がちゃがちゃ,くつわ虫
がなる,どなる
がに,に
がにめ,カニ
がばん,カバン
かむ,匂いを嗅ぐ
がめる,盗む
がれる,やせる
がんがむし,小さい蛾
がんがん,一斗缶の空き缶
がんたれる,がんとばす
がんつける,がんとばす
がんだ飯,半煮えのようなご飯
がんだめし,半煮えのようなご飯
元朝参り,初詣
がんど猫,野良猫//ドブ猫
がん箱,棺おけ
かんまーす,かき回す
かんまね,構わない
かんまめ,構わない
きーだ,困る
きかねど,許さないよ//承知しないよ
きかねがんな,許さないよ//承知しないよ
きかんぼ,気性が激しい人
きかんぼう,気性が激しい人
きこ,てめえ
きしょ,ちくしょう//くそっ
きしょめんのう,このやろう
きじぶちにいく,大便にいく博打をしにいく
きたい,気が利く//出来がいい
きたき,つば//よだれ
きたげ,つば//よだれ
きたけ,つば//よだれ
きだし,無意味に張り切る
きちくろ,来てちょうだい//着てちょうだい
きつくろ,来てちょうだい//着てちょうだい
きちょう払い,忌中払い
きぢゅばれぇ,忌中払い
きぢゅうばれぇ,忌中払い
きぢばらい,忌中払い
きったね,汚い
きっぽ,栓
きどこね,うたたね//居眠り
きどころね,うたたね//居眠り
きない,来ない
きね,来ない
気にしっぽ,気にする人//敏感な人
きびしょ,急須//くるぶし
きぴしょ,急須//くるぶし
決まり金玉,当たり前//決まっている
きみちか,気が短い//短気//きみじか
きめっこする,いじける
きも入れる,やき入れる//シメる
きもん,着物
きゃづ,奴
きやり腰,ぎっくり腰
きょーつける,気をつける
きらせる,来させる
きらっせ,おいで//いらっしゃい
ぎご,頑固//偏屈//強情
ぎっきぎき,ぐいぐい//ぐいぐいと
ぎっぎぎっぎ,ぐいぐい//ぐいぐいと
ぎっぎと,ぐいぐい//ぐいぐいと
ぎっちょ,左利き
ぎゃろ,こら
ぎょおん,夏祭り
ぎる,盗む//盗み//万引き
銀紙,アルミホイル
くいこおべぇ,食べごろ
くいんぼ,杭
くぐもる,声がこもって
くさっぱ,草
くさっぽ,かさぶた//タダレたり化膿している皮膚
くさぼ,怠け者
くじる,ほじる//ほじくる
くそんべ,ハエ
くたばる,披露困憊な
くちはび,まむし
くじはび,まむし
くっちゃび,まむし
くっかぐ,噛み砕く
くっかじる,かじる
くっ切る,噛み切る
くっちゃす,噛む//噛み潰す
くっちゃべる,べらべらとしゃべる
食っちらがす,食べ散らかす
くっつく,噛みつく
くっつぐ,噛みつく
くっぽがす,食べっぱなしにしておく
くつかる,くっつく
くっつかる,くっつく
くてー,あくどい//ずるい
くどい,難しい
くでぇ,難しい
くね,塀//生け垣
首っつる,首筋
窪ったま,くぼみ//窪地
くぼめ,蜘蛛
くまんばち,スズメバチ
くみうぢ,組内//自治会//相互扶助組織
っくら,っこ
くれる,あげる
くろ,くれ//ちょうだい
くん出す,吐き出す//汲み出す
くんちょ,して下さい
くん飲む,飲み込む
ぐし,ごと
ぐち,ごと
ぐっくぐっく,ぐいぐい//勢いよく
ぐっくと,ぐいぐい//勢いよく
ぐるったん,ぐるぐる
けぁーっちょ,逆
けえり,帰り
けえる,蛙
けえるめ,蛙
けえるっぱ,オオバコ
けえろっぱ,オオバコ
けげず,とんぼ
けごった,足がつった
きごった,足がつった
消しコム,消しゴム
けぢくそ,けちん坊
けっこぐる,蹴飛ばす
けったりい,けだるい//疲れた
けっちる,便秘する
けっとばす,けとばす
けっどが,なんだけど
けんと,なんだけど
けっぺずる,削る
けっぽる,蹴る
けつかれ,行ってしまえ
けつぬけ,扉やドアなどを閉めておかない事
しりぬけ,扉やドアなどを閉めておかない事
けば,毛
けぴちょ,急須//きびしょ」
けぶったい,煙たい
けむ,煙
けも,煙
けんなりー,とてもうらやましい//そうありたいと思う
けんぽく,県北
げ,げ
げ,家
おらげ,自分の家
おめげ,あなたの家
げーこめ,カエル
げっけめ,カエル
げいぶん悪い,外聞が悪い
げいもねえ,無益//無駄//つまらない
げさぐ,下品//いやらしい
げっぴ,びりっけつ
げすぴり,びりっけつ
げぼ,ゲロ
げぼわり,恥ずかしい//みっともない
げんこ,げんこつ
ごぎ,げんこつ
こっぱずかしい,恥ずかしい
こぜやける,むかつく//せやける
こきたねえ,汚い
こっつぁみい,寒い
こっつぁむい,寒い
こじゃれてる,しゃれてる
こにぐらしい,憎らしい
こうこ,漬物//お新香
おごご,漬物//お新香
こうご,漬物//お新香
こうもり,傘
こおよ,来いよ
ここんちょこ,ここのところ
こごいら,このあたり
こごむ,かがむ
こじはん,間食//おやつ
こしゃぐする,よけいなことをする//講釈する
ごじゃ,でたらめ//嘘
ごじゃっぺ,でたらめ
こすい,ずるい//せこい
こそい,ずるい//せこい
こすぐる,くすぐる
こせる,こさえる//作る
こそっぱい,こそばゆい//ざらざらしている
こぞっぱい,こそばゆい//ざらざらしている
こっきんぼう,内弁慶
こったんねえ,頭が足りない
こっぺくせえ,しゃらくさい
こでっしり,たくさん
こでっちり,たくさん
ごでっしゃり,たくさん
こでっしゃら,たくさん
ごでっちり,たくさん
