方言,日本語
あさぐ,歩く
いーんた,良さそうだ
おどがる,目が覚める
おどげ,顎
かまりかむ,匂いを嗅ぐ
からぽねやみ,なまけもの
きまぐ,腹を立てる
ぐだめく,小言を言う
こいへ,来てください
しぬ,痣になる
たでる,飼う
たんげ,すごく
へんかす,たたく
まね,駄目だ
めぐせ,恥ずかしい
やっぱはまり,何でもすぐに首を突っ込む人
よのめ,ものもらい
わらはんど,こどもたち
