方言,日本語
はねにする,仲間はずれにする
はぶてる,腹を立てる
はみ,マムシ
ばやく,騒ぐ//にぎやかす//ふざける//たわむれる//おどける
ぱちる,ちょいと拝借する
ひーさ,長時間
ひっちゃかめっちゃか,ぐちゃぐちゃ
ひもをたぐる,ひもをひっぱる
ひやい,冷たい
びき,蛙
びっちゃこ,びしょ濡れ
ふうがええ,格好悪い
ぶち,とても
ぶにゃあ,者は
ふるつく,梟//フクロウ
へこさか,逆さま//さかさ//あべこべ
へじゃが,だけど
へたる,座る//正座する//うずくまる
へり,はし
ぺち,すごく
ぺちこ,でこぴん
ほいでも,でも
ほいなら,それなら
ほうじゃのう,そうだなぁ
ほーけまつ,ぼんやり者
ほーべった,頬
ほかす,捨てる//放る
ほがをくう,ぼーっとする
ほぼろをうる,嫁が勝手に里へ帰る
ほーた,頰//ほっぺた
ぼっこー,たくさん//どっさり//大量に//いっぱい//仰山
ぼっさくる,追い立てる
ぼれる,水分を吸って膨らむ
ぼに,盆//盆休み//盂蘭盆会//盆祭り
ぼーぶら,南瓜//かぼちゃ
ぽんすー,あほ
まいたんび,毎回
まつぼり,内証金//へそくり
まねし,人真似
まひげ,まゆげ
まるこ,まるごと
みてる,無くなる//尽きる//死ぬ
みやすい,たやすい//簡単だ
みょうちくりん,奇妙な
むかわり,一周忌//一回忌//小祥忌
むける,供える
むつこい,（味が）しつこい
めげる,壊れる//毀れる//砕ける//だめになる
めべーとー,ものもらい
めぼ,ものもらい
めめくそ,目やに
もーとらん,つまらない//首尾一貫しない//役に立たない//訳が分からない//賢明でない
もたい,重たい
もちーと,もう少し
もとーらん,つまらない
もろーて,頂いて
やいとー,お灸
やおい,やわらかい
やねこい,難儀だ//面倒だ//むずかしい
やめーよ,やめなさいよ
やれの,やれやれ
やれん,しょうがないわねぇ
やれんよの,大変
やんす,ございます
よーけぇ,いっぱい
よーに,非常に
よかる,寄りかかる
よざるひき,夜遅くまで起きている人
よす,寄せる
よすける,渡す
わい,俺は
わかた,自宅
わに,さめ
わや,ぐちゃぐちゃ
わやくちゃ,汚い
わりゅーすりゃぁ,ことによると
われ,あなた
あおじ,青あざ
あがーにー,あのように
あがーでも,あるいは//ひょっとすると
あののー,あのね
あまくりかえる,余る
ありゃーのー,あれはね
あらましな,乱暴な//雑な
いけにゃー,だめならば
いけん,だめ
いごいごする,そわそわする//落ち着きがない
いたしい,苦しい//つらい
いちぃき,いつも
いついき,いつも
いちがい,頑固一徹
いっさんきに,一度に//大量に
いつず,いつか
いぬる,帰る
いびせい,怖い
いらう,さわる//かまう
うぐ,剥がす
うずないー,難しい
うべる,薄める
うまいしこーに,うまい具合に
えーがの,いいじゃないか
えーしこーに,うまい具合に
えっと,沢山//いっぱい
おえん,だめだ//いけない
おーかぜ,ひどい風邪
おおがっそう,髪の毛がぼさぼさ
おかしげな,粗末な//粗悪な
おごーさん,奥さん
おそれ,臆病//恐がり
かぐる,ひっかく
かごむ,かがむ//お辞儀をする
かっぽ,あり地獄
がのぉ,だけどなぁ
かばちたれ,文句いい
がめる,盗む
かやる,倒れる
きっぽ,傷跡
きける,かじかむ
きび,とうもろこし
きょうてい,怖い
ぎり,つむじ
くいくさし,食べかけ
くじく,捻挫
くじる,ぐずる
くたぶれる,疲れる
くろくじた,青あざ
けー,来い
けつ,最後尾
けづむ,りきむ
けつる,蹴る//少しだけ取る
げに,本当に
こうじく,偏屈
こーへぇ,生意気
こがーに,こんなに
こぐ,もぐ//とる
こげた,欠けた
こじける,かじかむ
こすい,ずるい
こなしびや,納屋
こまい,小さい
こんに,この人
ごうをいらす,世話をやかせる
ごきあらい,水すまし//御器洗い
さいたら,役に立たない
さえん,ぱっとしない
さげる,持ち上げる
さでぐりおちる,ころげ落ちる
さばる,しがみつく//すがる
ざまくな,乱雑だ//放埓だ
しきーつく,焦げつかす
しごをする,魚をさばく//こらしめる
しごんならん,手に負えない
しごんぼう,やんちゃ坊主
しにる,青あざ
しみる,凍結してる
しょおる,している
しわい,しんどい
しんさい,やりなさい
しんちゃい,したら？
しんちゃんな,したらだめ
じなくそげな,嘘っぽいこと
じゃが,だが
じゃけぇ,だからどうしたの
じゅるい,ぬかるんでいる
すなやぁ,やめろ
すばろーしぃ,うるさい
すぼれる,すぼむ//しぼむ//縮む
せせろーしい,うるさい
せばる,寄ってくる
せらう,やきもちをやく
せわしー,忙しい
そがいに,そんなに
そそね,うたたね//仮り寝
そばり,棘//とげ
そーれん,葬式//葬礼//葬列
それみんさいや,それみなさい
たいがいにせーよ,いい加減にしなさいよ
たいがたい,難い
たいぎい,面倒くさい
たう,届く
たお,とうげ//峠
たがう,効く
たがわん,届かない
たぐる,咳をする
たちまち,とりあえず
たばける,驚く//びっくりする
たぼうず,つくし
たりん,足らない
たんじゅう,たびたび
だんだん,ありがとう//感謝の挨拶
たんびに,いつもいつも
だまくらかす,だます
だや,牛舎
だらず,だらしない
だんなし,お金持ち
ちぃーと,少しだけ
ちぃとめくさ,ほんの少し
ちじこむ,小さくなる
ちびる,減る
ちょっきし,丁度
ちんぐう,ちぐはぐ
つかあさい,下さい
つかい,をください
つく,（印鑑を）押す
つつく,使う
つっぺ,勝ち負けなし
つばくろ,つばめ
つまらん,だめだ//つまらない
つもごりそば,年越しそば
てーさいこく,気取る
てご,手伝い
でいぇ,分家
でいれ,分家//分かれ//別家
でこ,お人形
ですけんねぇ,ですから
でぶちん,おでこ
でん,出ない
でんこん,れんこん
とーから,ご無沙汰
とうとうこ,とうもろこし
とうはち,ひょっとこ
どーなろーに,お手上げ
どうばら,腹
どがーに,どのように//いかさまに
どげー,どんな？
どげなん,どうなの
どろおとし,田植え休み//慰労日
どんどろさん,雷//神鳴り//いかずち
ないよーにする,紛失する
なす,返す//戻す//返却する
なば,茸//きのこ//たけ//木の子
なるい,平坦だ//平らだ
なんじゃかんじゃ,なんだかんだ
なんぼう,いくら
にーな,新品
にがる,痛い
にぎり,けち//物惜しみをする人
にゅーになる,（動物が）妊娠する//孕む//身籠もる
にーな,新しい//新奇な//新規な
ねき,近く
ねじける,曲がりくねる
ねつい,しつこい//くどい
ねと,近く
ねぶる,なめる
ねんごーたれる,くどくど説明する//気の利いたことを得意気に言う
のぅなった,無くなった
のぉ,ねぇ
のすける,手渡す//近寄せる
のーたくれる,怠ける//ずるける//横着をする
のる,のけぞる
はがえーの,腹立つ
はぐいい,はがゆい
はぐる,めくる
はさます,挟み込む
はしる,ひりひり痛む
はだかんぼー,真っ裸
はちまん,おてんば娘
はぶてる,腹を立てる//怒る
はねにする,仲間はずれにする
はぶてる,腹を立てる
はみ,マムシ
ばやく,騒ぐ//にぎやかす//ふざける//たわむれる//おどける
ぱちる,ちょいと拝借する
ひーさ,長時間
ひっちゃかめっちゃか,ぐちゃぐちゃ
ひもをたぐる,ひもをひっぱる
ひやい,冷たい
びき,蛙
びっちゃこ,びしょ濡れ
ふうがええ,格好悪い
ぶち,とても
ぶにゃあ,者は
ふるつく,梟//フクロウ
へこさか,逆さま//さかさ//あべこべ
へじゃが,だけど
へたる,座る//正座する//うずくまる
へり,はし
ぺち,すごく
ぺちこ,でこぴん
ほいでも,でも
ほいなら,それなら
ほうじゃのう,そうだなぁ
ほーけまつ,ぼんやり者
ほーべった,頬
ほかす,捨てる//放る
ほがをくう,ぼーっとする
ほぼろをうる,嫁が勝手に里へ帰る
ほーた,頰//ほっぺた
ぼっこー,たくさん//どっさり//大量に//いっぱい//仰山
ぼっさくる,追い立てる
ぼれる,水分を吸って膨らむ
ぼに,盆//盆休み//盂蘭盆会//盆祭り
ぼーぶら,南瓜//かぼちゃ
ぽんすー,あほ
まいたんび,毎回
まつぼり,内証金//へそくり
まねし,人真似
まひげ,まゆげ
まるこ,まるごと
みてる,無くなる//尽きる//死ぬ
みやすい,たやすい//簡単だ
みょうちくりん,奇妙な
むかわり,一周忌//一回忌//小祥忌
むける,供える
むつこい,（味が）しつこい
めげる,壊れる//毀れる//砕ける//だめになる
めべーとー,ものもらい
めぼ,ものもらい
めめくそ,目やに
もーとらん,つまらない//首尾一貫しない//役に立たない//訳が分からない//賢明でない
もたい,重たい
もちーと,もう少し
もとーらん,つまらない
もろーて,頂いて
やいとー,お灸
やおい,やわらかい
やねこい,難儀だ//面倒だ//むずかしい
やめーよ,やめなさいよ
やれの,やれやれ
やれん,しょうがないわねぇ
やれんよの,大変
やんす,ございます
よーけぇ,いっぱい
よーに,非常に
よかる,寄りかかる
よざるひき,夜遅くまで起きている人
よす,寄せる
よすける,渡す
わい,俺は
わかた,自宅
わに,さめ
わや,ぐちゃぐちゃ
わやくちゃ,汚い
わりゅーすりゃぁ,ことによると
われ,あなた
